(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|...ack-2.1.0/lib/action_controller/caching/pages.rb |   154 |    76 |  32.9% |
|...2.1.0/lib/action_controller/caching/sql_cache.rb |    18 |    17 | 100.0% |
|...-2.1.0/lib/action_controller/caching/sweeping.rb |    97 |    54 |  35.2% |
|...ctionpack-2.1.0/lib/action_controller/cgi_ext.rb |    16 |    13 |  69.2% |
|...ck-2.1.0/lib/action_controller/cgi_ext/cookie.rb |   110 |    67 |  16.4% |
|...lib/action_controller/cgi_ext/query_extension.rb |    22 |    14 |  35.7% |
|...k-2.1.0/lib/action_controller/cgi_ext/session.rb |    73 |    58 |  29.3% |
|...-2.1.0/lib/action_controller/cgi_ext/stdinput.rb |    24 |    19 |  63.2% |
|...npack-2.1.0/lib/action_controller/cgi_process.rb |   223 |   168 |  18.5% |
|...onpack-2.1.0/lib/action_controller/components.rb |   166 |   102 |  46.1% |
|...ctionpack-2.1.0/lib/action_controller/cookies.rb |    96 |    44 |  31.8% |
|...onpack-2.1.0/lib/action_controller/dispatcher.rb |   162 |   122 |  33.6% |
|...ctionpack-2.1.0/lib/action_controller/filters.rb |   643 |   285 |  65.3% |
|.../actionpack-2.1.0/lib/action_controller/flash.rb |   172 |    96 |  55.2% |
|...ctionpack-2.1.0/lib/action_controller/headers.rb |    31 |    25 |  28.0% |
|...ctionpack-2.1.0/lib/action_controller/helpers.rb |   221 |    95 |  70.5% |
|...1.0/lib/action_controller/http_authentication.rb |   124 |    42 |  33.3% |
|...npack-2.1.0/lib/action_controller/integration.rb |   634 |   347 |  28.2% |
|...actionpack-2.1.0/lib/action_controller/layout.rb |   310 |   129 |  76.7% |
|...ack-2.1.0/lib/action_controller/mime_responds.rb |   174 |    70 |  21.4% |
|...ionpack-2.1.0/lib/action_controller/mime_type.rb |   182 |   126 |  39.7% |
|...onpack-2.1.0/lib/action_controller/mime_types.rb |    20 |    14 | 100.0% |
|....1.0/lib/action_controller/polymorphic_routes.rb |   178 |    92 |  22.8% |
|...2.1.0/lib/action_controller/record_identifier.rb |    97 |    30 |  33.3% |
|...ctionpack-2.1.0/lib/action_controller/request.rb |   761 |   523 |  30.6% |
|.../action_controller/request_forgery_protection.rb |   140 |    62 |  62.9% |
|...actionpack-2.1.0/lib/action_controller/rescue.rb |   258 |   156 |  35.9% |
|...ionpack-2.1.0/lib/action_controller/resources.rb |   572 |   210 |  22.4% |
|...tionpack-2.1.0/lib/action_controller/response.rb |    76 |    60 |  73.3% |
|...ctionpack-2.1.0/lib/action_controller/routing.rb |   383 |    79 |  49.4% |
|...k-2.1.0/lib/action_controller/routing/builder.rb |   204 |   150 |  82.7% |
